Game,Rounds,P0 Score,P1 Score,Winner,,
0,8,41,117,1,,
1,8,82,101,1,,
2,6,24,115,1,,
3,6,117,14,0,,
4,9,147,86,0,,
5,9,79,104,1,,
6,4,10,102,1,,
7,7,76,105,1,,
8,9,142,51,0,,
9,9,123,94,0,,
10,9,138,59,0,,
11,10,100,31,0,,
12,5,11,109,1,,
13,4,112,0,0,,
14,8,115,34,0,,
15,8,60,118,1,,
16,8,2,102,1,,
17,8,104,46,0,,
18,7,119,37,0,,
19,8,90,114,1,,
20,9,83,139,1,,
21,6,100,41,0,,
22,4,125,0,0,,
23,8,69,117,1,,
24,5,101,0,0,,
25,5,0,106,1,,
26,11,146,54,0,,
27,10,83,104,1,,
28,7,102,22,0,,
29,6,106,43,0,,
30,11,125,34,0,,
31,10,28,111,1,,
32,11,108,67,0,,
33,10,10,105,1,,
34,5,100,11,0,,
35,12,111,93,0,,
36,6,112,16,0,,
37,16,107,78,0,,
38,8,80,120,1,,
39,9,109,88,0,,
40,7,101,0,0,,
41,7,113,24,0,,
42,7,157,40,0,,
43,5,162,33,0,,
44,8,127,19,0,,
45,7,101,81,0,,
46,7,106,47,0,,
47,5,108,19,0,,
48,7,110,46,0,,
49,8,124,67,0,,
50,6,105,48,0,,
51,5,107,3,0,,
52,11,120,67,0,,
53,10,108,69,0,,
54,10,111,36,0,,
55,6,101,12,0,,
56,12,117,80,0,,
57,6,121,27,0,,
58,4,116,0,0,,
59,12,87,102,1,,
60,9,134,87,0,,
61,5,124,5,0,,
62,12,108,51,0,,
63,6,11,103,1,,
64,7,35,104,1,,
65,8,82,123,1,,
66,9,46,102,1,,
67,11,97,112,1,,
68,8,123,76,0,,
69,9,133,42,0,,
70,10,83,101,1,,
71,8,91,118,1,,
72,3,110,6,0,,
73,13,96,110,1,,
74,5,137,9,0,,
75,6,118,34,0,,
76,9,143,52,0,,
77,11,145,89,0,,
78,11,144,72,0,,
79,12,74,127,1,,
80,5,136,18,0,,
81,13,112,49,0,,
82,11,103,36,0,,
83,5,128,28,0,,
84,6,107,7,0,,
85,7,111,8,0,,
86,9,128,72,0,,
87,8,36,117,1,,
88,9,82,105,1,,
89,8,135,86,0,,
90,6,121,17,0,,
91,6,35,108,1,,
92,5,0,112,1,,
93,7,59,101,1,,
94,9,104,67,0,,
95,5,107,50,0,,
96,11,90,112,1,,
97,7,139,29,0,,
98,9,58,113,1,,
99,5,16,106,1,,
100,8,75,145,1,,
101,8,130,20,0,,
102,8,107,47,0,,
103,4,105,5,0,,
104,9,107,76,0,,
105,9,94,121,1,,
106,7,122,24,0,,
107,11,108,53,0,,
108,5,134,14,0,,
109,11,122,89,0,,
110,6,62,116,1,,
111,6,118,45,0,,
112,3,111,0,0,,
113,8,119,34,0,,
114,4,108,12,0,,
115,5,138,0,0,,
116,7,135,51,0,,
117,12,102,68,0,,
118,8,100,55,0,,
119,7,106,67,0,,
120,7,72,100,1,,
121,9,105,67,0,,
122,10,126,70,0,,
123,10,109,45,0,,
124,8,43,121,1,,
125,10,110,61,0,,
126,11,101,99,0,,
127,10,131,70,0,,
128,10,118,94,0,,
129,4,100,47,0,,
130,6,103,0,0,,
131,8,103,24,0,,
132,9,61,114,1,,
133,11,54,103,1,,
134,8,124,14,0,,
135,3,103,0,0,,
136,8,116,66,0,,
137,5,31,118,1,,
138,8,130,65,0,,
139,8,27,111,1,,
140,4,106,23,0,,
141,10,113,99,0,,
142,11,146,80,0,,
143,14,69,106,1,,
144,6,69,114,1,,
145,4,116,0,0,,
146,10,121,7,0,,
147,6,82,104,1,,
148,3,115,0,0,,
149,8,15,125,1,,
150,5,39,113,1,,
151,10,64,119,1,,
152,11,63,107,1,,
153,6,119,23,0,,
154,8,92,112,1,,
155,10,131,52,0,,
156,4,101,0,0,,
157,5,55,119,1,,
158,8,45,115,1,,
159,7,101,24,0,,
160,6,141,39,0,,
161,7,132,66,0,,
162,9,130,32,0,,
163,3,102,0,0,,
164,11,81,104,1,,
165,4,25,115,1,,
166,12,85,101,1,,
167,4,118,0,0,,
168,9,129,88,0,,
169,9,102,86,0,,
170,12,76,130,1,,
171,11,76,108,1,,
172,6,126,10,0,,
173,8,106,78,0,,
174,6,100,39,0,,
175,7,113,33,0,,
176,7,139,26,0,,
177,6,149,17,0,,
178,12,116,68,0,,
179,8,49,136,1,,
180,10,103,55,0,,
181,6,13,103,1,,
182,5,121,5,0,,
183,7,135,59,0,,
184,7,139,5,0,,
185,6,11,109,1,,
186,10,121,57,0,,
187,6,37,110,1,,
188,4,129,0,0,,
189,6,110,32,0,,
190,7,113,28,0,,
191,9,158,48,0,,
192,10,116,55,0,,
193,10,92,105,1,,
194,11,130,48,0,,
195,3,0,107,1,,
196,11,115,99,0,,
197,6,123,0,0,,
198,5,107,40,0,,
199,7,108,35,0,,
200,7,136,3,0,,
201,7,100,26,0,,
202,9,114,66,0,,
203,9,79,104,1,,
204,10,115,85,0,,
205,9,108,89,0,,
206,9,73,101,1,,
207,8,125,36,0,,
208,4,108,13,0,,
209,7,154,43,0,,
210,13,148,90,0,,
211,8,132,25,0,,
212,5,110,25,0,,
213,7,109,21,0,,
214,5,109,0,0,,
215,7,145,92,0,,
216,8,92,105,1,,
217,8,140,11,0,,
218,7,112,40,0,,
219,4,133,0,0,,
220,10,114,41,0,,
221,5,115,42,0,,
222,6,105,13,0,,
223,6,17,113,1,,
224,6,60,120,1,,
225,7,33,119,1,,
226,8,106,77,0,,
227,5,111,0,0,,
228,7,106,38,0,,
229,3,104,0,0,,
230,10,91,108,1,,
231,4,110,0,0,,
232,6,50,104,1,,
233,5,50,105,1,,
234,11,72,110,1,,
235,7,102,57,0,,
236,10,78,131,1,,
237,6,127,17,0,,
238,10,59,118,1,,
239,8,26,115,1,,
240,8,102,41,0,,
241,9,101,52,0,,
242,9,100,38,0,,
243,11,103,91,0,,
244,10,60,117,1,,
245,10,105,64,0,,
246,9,68,100,1,,
247,5,4,131,1,,
248,12,92,122,1,,
249,10,103,92,0,,
250,10,41,104,1,,
251,7,111,33,0,,
252,9,82,119,1,,
253,11,65,110,1,,
254,7,104,46,0,,
255,9,106,56,0,,
256,12,92,119,1,,
257,10,118,69,0,,
258,5,108,11,0,,
259,5,111,17,0,,
260,12,85,117,1,,
261,6,100,5,0,,
262,7,81,107,1,,
263,8,91,101,1,,
264,8,112,53,0,,
265,8,25,112,1,,
266,6,103,3,0,,
267,8,100,41,0,,
268,6,107,81,0,,
269,12,123,67,0,,
270,10,79,104,1,,
271,6,45,106,1,,
272,3,100,0,0,,
273,5,134,48,0,,
274,4,25,114,1,,
275,8,107,48,0,,
276,3,116,0,0,,
277,6,126,17,0,,
278,6,115,63,0,,
279,10,132,83,0,,
280,5,143,68,0,,
281,9,118,61,0,,
282,8,26,112,1,,
283,8,122,85,0,,
284,11,59,142,1,,
285,5,143,10,0,,
286,12,105,80,0,,
287,6,121,56,0,,
288,13,76,113,1,,
289,4,114,20,0,,
290,9,120,49,0,,
291,11,107,97,0,,
292,5,111,0,0,,
293,6,104,0,0,,
294,5,101,16,0,,
295,7,96,127,1,,
296,4,0,124,1,,
297,7,124,10,0,,
298,7,118,75,0,,
299,12,102,38,0,,
300,5,46,112,1,,
301,5,11,104,1,,
302,6,122,2,0,,
303,7,109,79,0,,
304,5,118,34,0,,
305,3,0,111,1,,
306,5,92,121,1,,
307,8,84,112,1,,
308,9,104,28,0,,
309,8,27,123,1,,
310,7,105,26,0,,
311,4,104,0,0,,
312,11,28,113,1,,
313,10,99,104,1,,
314,6,32,104,1,,
315,5,104,59,0,,
316,5,108,79,0,,
317,8,104,64,0,,
318,10,93,104,1,,
319,10,88,101,1,,
320,5,118,7,0,,
321,7,117,36,0,,
322,12,67,130,1,,
323,8,39,105,1,,
324,8,105,81,0,,
325,12,111,85,0,,
326,7,109,69,0,,
327,3,0,104,1,,
328,8,102,63,0,,
329,6,109,8,0,,
330,4,129,0,0,,
331,6,106,23,0,,
332,6,110,13,0,,
333,9,110,66,0,,
334,8,73,140,1,,
335,9,105,44,0,,
336,8,125,65,0,,
337,6,116,43,0,,
338,9,27,100,1,,
339,11,108,84,0,,
340,7,107,30,0,,
341,9,126,41,0,,
342,7,110,33,0,,
343,5,0,111,1,,
344,10,99,108,1,,
345,4,100,0,0,,
346,8,18,110,1,,
347,9,44,103,1,,
348,3,103,0,0,,
349,6,107,45,0,,
350,15,62,104,1,,
351,6,46,107,1,,
352,7,27,104,1,,
353,10,99,107,1,,
354,10,88,116,1,,
355,6,138,18,0,,
356,5,76,130,1,,
357,7,22,117,1,,
358,11,110,69,0,,
359,6,19,108,1,,
360,13,134,74,0,,
361,8,89,100,1,,
362,9,112,60,0,,
363,10,66,101,1,,
364,7,134,81,0,,
365,12,125,46,0,,
366,8,80,108,1,,
367,6,50,103,1,,
368,8,36,137,1,,
369,6,112,42,0,,
370,7,126,8,0,,
371,10,94,115,1,,
372,6,109,18,0,,
373,7,123,26,0,,
374,5,110,19,0,,
375,3,0,113,1,,
376,6,113,60,0,,
377,10,116,35,0,,
378,7,100,67,0,,
379,8,102,56,0,,
380,7,131,60,0,,
381,8,66,142,1,,
382,8,55,112,1,,
383,5,119,9,0,,
384,6,68,156,1,,
385,12,100,77,0,,
386,5,100,80,0,,
387,7,108,12,0,,
388,5,110,0,0,,
389,7,60,112,1,,
390,4,104,16,0,,
391,8,94,102,1,,
392,5,0,112,1,,
393,4,102,0,0,,
394,8,53,102,1,,
395,6,103,60,0,,
396,12,101,47,0,,
397,9,65,127,1,,
398,4,20,100,1,,
399,9,2,102,1,,
400,12,91,100,1,,
401,5,35,114,1,,
402,7,142,5,0,,
403,12,106,84,0,,
404,8,103,55,0,,
405,8,30,104,1,,
406,4,101,0,0,,
407,5,132,10,0,,
408,7,104,32,0,,
409,9,135,72,0,,
410,6,102,80,0,,
411,10,130,20,0,,
412,9,131,59,0,,
413,9,51,111,1,,
414,8,61,103,1,,
415,12,104,98,0,,
416,7,130,45,0,,
417,6,105,64,0,,
418,11,72,137,1,,
419,7,114,26,0,,
420,3,0,104,1,,
421,9,103,33,0,,
422,4,120,2,0,,
423,10,72,100,1,,
424,8,36,124,1,,
425,5,111,7,0,,
426,8,82,124,1,,
427,11,120,91,0,,
428,9,106,6,0,,
429,9,50,124,1,,
430,4,0,107,1,,
431,12,84,112,1,,
432,10,106,94,0,,
433,10,100,73,0,,
434,8,33,130,1,,
435,9,131,61,0,,
436,9,22,100,1,,
437,8,73,122,1,,
438,7,110,52,0,,
439,10,127,29,0,,
440,8,118,16,0,,
441,8,61,119,1,,
442,10,37,116,1,,
443,6,129,33,0,,
444,12,117,73,0,,
445,9,111,75,0,,
446,4,102,2,0,,
447,8,59,105,1,,
448,11,100,89,0,,
449,7,100,77,0,,
450,7,50,139,1,,
451,14,93,105,1,,
452,8,117,33,0,,
453,8,20,124,1,,
454,3,100,19,0,,
455,10,60,123,1,,
456,10,111,93,0,,
457,7,148,39,0,,
458,10,65,109,1,,
459,5,4,106,1,,
460,9,123,8,0,,
461,9,29,104,1,,
462,9,124,43,0,,
463,9,87,117,1,,
464,9,80,128,1,,
465,12,107,67,0,,
466,6,124,5,0,,
467,8,121,63,0,,
468,9,155,58,0,,
469,8,100,54,0,,
470,5,115,27,0,,
471,5,25,107,1,,
472,9,101,83,0,,
473,10,91,142,1,,
474,8,137,25,0,,
475,7,61,106,1,,
476,7,116,84,0,,
477,12,99,104,1,,
478,7,112,16,0,,
479,12,61,127,1,,
480,7,106,65,0,,
481,8,116,27,0,,
482,7,124,9,0,,
483,8,112,44,0,,
484,4,0,136,1,,
485,9,68,100,1,,
486,9,80,128,1,,
487,9,121,43,0,,
488,11,53,150,1,,
489,6,112,0,0,,
490,4,100,29,0,,
491,8,108,21,0,,
492,7,100,70,0,,
493,9,135,68,0,,
494,5,15,115,1,,
495,12,140,76,0,,
496,4,108,0,0,,
497,8,71,119,1,,
498,12,122,74,0,,
499,6,111,14,0,,
,,,MeldWin,182,186,368
,,,BasWin,318,314,632
